Round,Date,Day,Time,GameTimePK,Statement
6,01/06/2019,Sat,19:00,r6_sat_20190601_1900,"r6_sat_20190601_1900 = GameTime(round= 6, when=datetime(year=2019, month=6, day=1, hour=19, minute=0))"
6,02/06/2019,Sun,08:30,r6_sun_20190602_0830,"r6_sun_20190602_0830 = GameTime(round= 6, when=datetime(year=2019, month=6, day=2, hour=8, minute=30))"
6,02/06/2019,Sun,10:00,r6_sun_20190602_1000,"r6_sun_20190602_1000 = GameTime(round= 6, when=datetime(year=2019, month=6, day=2, hour=10, minute=0))"
6,02/06/2019,Sun,11:30,r6_sun_20190602_1130,"r6_sun_20190602_1130 = GameTime(round= 6, when=datetime(year=2019, month=6, day=2, hour=11, minute=30))"
6,02/06/2019,Sun,13:00,r6_sun_20190602_1300,"r6_sun_20190602_1300 = GameTime(round= 6, when=datetime(year=2019, month=6, day=2, hour=13, minute=0))"
6,02/06/2019,Sun,15:00,r6_sun_20190602_1500,"r6_sun_20190602_1500 = GameTime(round= 6, when=datetime(year=2019, month=6, day=2, hour=15, minute=0))"
6,31/05/2019,Fri,18:00,r6_fri_20190531_1800,"r6_fri_20190531_1800 = GameTime(round= 6, when=datetime(year=2019, month=5, day=31, hour=18, minute=0))"
6,31/05/2019,Fri,19:30,r6_fri_20190531_1930,"r6_fri_20190531_1930 = GameTime(round= 6, when=datetime(year=2019, month=5, day=31, hour=19, minute=30))"
7,07/06/2019,Fri,18:00,r7_fri_20190607_1800,"r7_fri_20190607_1800 = GameTime(round= 7, when=datetime(year=2019, month=6, day=7, hour=18, minute=0))"
7,07/06/2019,Fri,19:30,r7_fri_20190607_1930,"r7_fri_20190607_1930 = GameTime(round= 7, when=datetime(year=2019, month=6, day=7, hour=19, minute=30))"
7,08/06/2019,Sat,08:30,r7_sat_20190608_0830,"r7_sat_20190608_0830 = GameTime(round= 7, when=datetime(year=2019, month=6, day=8, hour=8, minute=30))"
7,08/06/2019,Sat,10:00,r7_sat_20190608_1000,"r7_sat_20190608_1000 = GameTime(round= 7, when=datetime(year=2019, month=6, day=8, hour=10, minute=0))"
7,08/06/2019,Sat,11:30,r7_sat_20190608_1130,"r7_sat_20190608_1130 = GameTime(round= 7, when=datetime(year=2019, month=6, day=8, hour=11, minute=30))"
7,08/06/2019,Sat,13:00,r7_sat_20190608_1300,"r7_sat_20190608_1300 = GameTime(round= 7, when=datetime(year=2019, month=6, day=8, hour=13, minute=0))"
7,08/06/2019,Sat,15:00,r7_sat_20190608_1500,"r7_sat_20190608_1500 = GameTime(round= 7, when=datetime(year=2019, month=6, day=8, hour=15, minute=0))"
7,08/06/2019,Sat,17:00,r7_sat_20190608_1700,"r7_sat_20190608_1700 = GameTime(round= 7, when=datetime(year=2019, month=6, day=8, hour=17, minute=0))"
7,08/06/2019,Sat,19:00,r7_sat_20190608_1900,"r7_sat_20190608_1900 = GameTime(round= 7, when=datetime(year=2019, month=6, day=8, hour=19, minute=0))"
7,09/06/2019,Sun,08:30,r7_sun_20190609_0830,"r7_sun_20190609_0830 = GameTime(round= 7, when=datetime(year=2019, month=6, day=9, hour=8, minute=30))"
7,09/06/2019,Sun,10:00,r7_sun_20190609_1000,"r7_sun_20190609_1000 = GameTime(round= 7, when=datetime(year=2019, month=6, day=9, hour=10, minute=0))"
7,09/06/2019,Sun,11:30,r7_sun_20190609_1130,"r7_sun_20190609_1130 = GameTime(round= 7, when=datetime(year=2019, month=6, day=9, hour=11, minute=30))"
7,09/06/2019,Sun,13:00,r7_sun_20190609_1300,"r7_sun_20190609_1300 = GameTime(round= 7, when=datetime(year=2019, month=6, day=9, hour=13, minute=0))"
7,09/06/2019,Sun,15:00,r7_sun_20190609_1500,"r7_sun_20190609_1500 = GameTime(round= 7, when=datetime(year=2019, month=6, day=9, hour=15, minute=0))"
8,14/06/2019,Fri,18:00,r8_fri_20190614_1800,"r8_fri_20190614_1800 = GameTime(round= 8, when=datetime(year=2019, month=6, day=14, hour=18, minute=0))"
